Gene > WormBase Gene ID,Gene > Gene Name,Gene > Sequence Name,Gene > Brief Description,Gene > Chromosome Location > Feature . Primary Identifier,Gene > Chromosome Location > Start,Gene > Chromosome Location > End,Gene > Chromosome Location > Strand,Gene > Organism
WBGene00001259,emb-5,T04A8.14,"emb-5 encodes the C. elegans ortholog of the Spt6 family of RNA polymerase II transcription elongation factors; first identified in screens for temperature-sensitive embryonic lethal mutations, emb-5 is required for the correct timing of the second E (endoderm)-cell division in the early embryo and thus, for normal embryonic gastrulation; in addition, emb-5 activity is required postembryonically for proper gonad development; in yeast two-hybrid studies, EMB-5 interacts with the intracellular domains of LIN-12 and GLP-1, suggesting that EMB-5 functions as a positive downstream effector in Notch-like signaling pathways during C. elegans development; emb-5 mRNA is most abundant during embryonic stages, with lower levels apparent during the L1-L3 larval stages, and even lower levels observed during L4.",WBGene00001259,4715291,4720670,-1,Caenorhabditis elegans
WBGene00001340,etr-1,T01D1.2,"etr-1 encodes a muscle-specific ELAV-type RNA-binding protein, whose homologs include Drosophila ELAV and human CUG-BINDING PROTEIN (CUGBP1; OMIM:601074); etr-1 function is required for embryonic muscle development, which suggests that ETR-1's homology to CUG-BP (implicated in myotonic dystrophy) might reflect conserved roles in development.",WBGene00001340,162374,170628,1,Caenorhabditis elegans
WBGene00001368,exc-7,F35H8.5,"exc-7 encodes an ELAV, an mRNA-binding protein homologous to Drosophila ELAV and human HuC/D (OMIM:603458, 168360, autoimmune antigens associated with paraneoplastic neurologic disorders); EXC-7 is required for formation of the tailspike and the excretory cell canals; exc-7 mutations enhance defects produced by mutations in exc-3, predicted to encode a peptidase, and sma-1, which encodes beta H-spectrin, a key component of the apical cytokeleton of polarized epithelial cells such as the excretory cell; in vitro, EXC-7 can bind the sma-1 mRNA 3' UTR, and thus is predicted to regulate SMA-1 expression in vivo; EXC-7 is expressed transiently in the excretory cell nucleus during mid-embryogenesis and during larval stages is detected in the pharynx, nerve ring, and nerve cord nuclei.",WBGene00001368,9575971,9581469,1,Caenorhabditis elegans
WBGene00001401,fbf-1,H12I13.4,"fbf-1 encodes an RNA-binding protein that is one of 12 C. elegans members of the PUF family (Pumilio and FBF) of translational regulators; FBF-1 is nearly identical to FBF-2 with which it is largely redundant in regulating two aspects of germline development: 1) maintenance of stem cell proliferation, and 2) the hermaphroditic switch between spermatogenesis and oogenesis; FBF-1 also plays a role in regulating adaptation in the AWC chemosensory neuron by binding and enhancing translation of the egl-4 mRNA; in maintaining germline stem cells, the FBF proteins, acting through NOS-3, negatively regulate the activity of gld-1 mRNA, which encodes a translational repressor required for meiotic entry; in regulating the sperm-to-oocyte switch, the FBFs act downstream of GLD-3 to negatively regulate the activity of fem-3 mRNA, which encodes a novel protein required for germline sex determination; consistent with their role in germline development, FBF-1 and FBF-2 are expressed in the germline cytoplasm, becoming enriched in the mitotic region during the L4 larval and adult stages.",WBGene00001401,6078267,6080813,-1,Caenorhabditis elegans
WBGene00001402,fbf-2,F21H12.5,"fbf-2 encodes an RNA-binding protein that is one of 11 C. elegans members of the PUF family (Pumilio and FBF) of translational regulators; FBF-2 is nearly identical to FBF-1 with which it is largely redundant in regulating two aspects of germline development: 1)maintenance of stem cell proliferation, and 2)the hermaphroditic switch between spermatogenesis and oogenesis; in maintaining germline stem cells, the FBF proteins, acting through NOS-3, negatively regulate the activity of gld-1 mRNA, which encodes a translational repressor required for meiotic entry; in regulating the sperm-to-oocyte switch, the FBFs act downstream of GLD-3 to negatively regulate the activity of fem-3 mRNA, which encodes a novel protein required for germline sex determination; consistent with their role in germline development, FBF-1 and FBF-2 are expressed in the germline cytoplasm, becoming enriched in the mitotic region during the L4 larval and adult stages.",WBGene00001402,6088667,6091480,-1,Caenorhabditis elegans
WBGene00001481,fog-1,Y54E10A.4,The fog-1 gene encodes a cytoplasmic polyadenylation element binding (CPEB) protein that is required for specification of the sperm fate.,WBGene00001481,3211046,3217365,1,Caenorhabditis elegans
WBGene00001484,fox-1,T07D1.4,"fox-1 encodes an RNA-binding protein of the RNA recognition motif (RRM) superfamily of ribonucleic acid binding proteins; during C. elegans development, FOX-1 functions redundantly with other numerator elements to effect proper dosage compensation in the early embryo; in influencing dosage compensation, FOX-1 likely acts via post-transcriptional regulation of xol-1 mRNA levels; in addition to its role in dosage compensation, fox-1 activity is also required for normal male mating behavior; Western analysis and lacZ reporter constructs indicate that FOX-1 is expressed throughout the life cycle, beginning at the 18-20-cell stage of embryogenesis and continuing on through larval stages and into adult hermaphrodites and males; while early embryonic expression of fox-1 is ubiquitous, postembryonic expression is limited to a subset of head and tail neurons.",WBGene00001484,2445500,2450504,-1,Caenorhabditis elegans
WBGene00001595,gld-1,T23G11.3,"gld-1 encodes a protein containing a K homology (KH) RNA binding domain; GLD-1 is required for regulation of the mitosis/meiosis decision during germline development (promotion of meiotic entry) in parallel with gld-2, gld-3, and nos-3 and also affects spermatogenesis; GLD-1 physically interacts with the 3'- and 5'UTR of its putative mRNA targets in vitro to negatively regulate their translation; GLD-1 also physically interacts with FOG-2, an F-box protein that promotes spermatogenesis; GLD-1 is expressed in the germ cell cytoplasm at high levels during meiotic prophase; GLD-1 phosphorylation and levels in the distal, mitotic germline are negatively regulated by CYE-1/cyclin E, CDK-2, and the RNA-binding protein FBF-1.",WBGene00001595,7695661,7698154,1,Caenorhabditis elegans
WBGene00001808,gut-2,T10G3.6,"gut-2 encodes a member of the Sm protein family with highest similarity to human U6 snRNA-associated Sm-like protein, LSm2, that affects embryonic viability.",WBGene00001808,13497704,13498820,1,Caenorhabditis elegans
WBGene00001999,hrp-1,F42A6.7,"hrp-1 encodes a putative heterogeneous nuclear  ribonucleoprotein (hnRNP) required for mRNA surveillance,  normally rapid growth, normally short lifespan, normally short  body length, vulval development, DAF-18 function, fertility,  and general viability; HRP-1 has two N-terminal RRM domains  and a low-complexity C-terminal domain; HRP-1's homologs  include HNRNPA0 (OMIM:609409), HNRNPA1 (HNRPA1; OMIM:164017;  overexpressed in vitamin D resistance); HNRPA3 (OMIM:605372);  and HNRNPA1L2.",WBGene00001999,3336924,3338867,-1,Caenorhabditis elegans
WBGene00002000,hrp-2,F58D5.1,,WBGene00002000,12060276,12064897,-1,Caenorhabditis elegans
WBGene00002850,let-716,C16A3.3,,WBGene00002850,6383552,6389413,1,Caenorhabditis elegans
WBGene00003014,lin-28,F02E9.2,"lin-28 encodes a cytoplasmic protein with a cold shock domain and retroviral-type (CCHC) zinc finger motifs; LIN-28 is required for events specific to the second larval stage, which in lin-28 mutants are skipped, and is itself subject both to negative regulation (by binding of the lin-4 stRNA to an element in the lin-28 3' UTR) and to positive regulation (by LIN-14, which negatively regulates lin-4-independent inhibition also acting on the lin-28 3' UTR).",WBGene00003014,8407802,8410804,-1,Caenorhabditis elegans
WBGene00003076,lsm-1,F40F8.9,,WBGene00003076,11126932,11127530,1,Caenorhabditis elegans
WBGene00003077,lsm-3,Y62E10A.12,,WBGene00003077,13387417,13389599,1,Caenorhabditis elegans
WBGene00003078,lsm-4,F32A5.7,,WBGene00003078,7252230,7253163,-1,Caenorhabditis elegans
WBGene00003079,lsm-5,F28F8.3,,WBGene00003079,15569957,15570787,1,Caenorhabditis elegans
WBGene00003080,lsm-6,Y71G12B.14,,WBGene00003080,1701358,1701799,1,Caenorhabditis elegans
WBGene00003081,lsm-7,ZK593.7,,WBGene00003081,10933351,10934200,1,Caenorhabditis elegans
WBGene00003082,lsm-8,Y73B6BL.32,,WBGene00003082,6326526,6329472,1,Caenorhabditis elegans
WBGene00003172,mec-8,F46A9.6,"mec-8 encodes a protein with two RNA recognition motifs (RRM); mec-8 is required for proper development of body wall muscle and chemosensory and touch receptor neurons and as a result, for embryonic and larval development, sensory neuron fasciculation, and mechanosensation; MEC-8 functions as an mRNA processing factor whose activity is required for alternative splicing of genes such as unc-52/perlecan, with which it interacts genetically to produce synthetic lethality at the two-fold stage of embryonic elongation; mec-8 mutations also exhibit synthetic lethality with mutations in a number of other genes, including the sym genes and daf-18; mec-8; unc-52 synthetic lethality is suppressed by mutations in smu-1 and smu-2 which both encode homologs of mammalian spliceosome-associated proteins; mec-8 is broadly expressed in the embryo and expressed in hypodermal and neuronal tissues in larvae.",WBGene00003172,9441014,9450731,-1,Caenorhabditis elegans
WBGene00003228,mex-1,W03C9.7,"mex-1 encodes a CCCH-type zinc-finger protein that is required maternally for segregation of P granules, germ cell formation, and somatic cell differentiation in the early embryo; MEX-1 is expressed cytoplasmically in germ line blastomeres, is a component of P granules, and is required for restricting PIE-1 expression and function to these cells; mex-1 mRNA transcripts are also transiently associated with P granules.",WBGene00003228,11968637,11972334,1,Caenorhabditis elegans
WBGene00003229,mex-3,F53G12.5,"mex-3 encodes two KH domain-containing RNA binding proteins; in the early embryo, maternally provided MEX-3 is required for specifying the identities of the anterior AB blastomere and its descendants, as well as for the identity of the P3 blastomere and proper segregation of the germline P granules; mex-3 mRNA is distributed uniformly in the syncytial core of the adult distal gonad, mature oocytes, and early 1-cell stage embryos, but then becomes more prominent in the AB blastomere and its daughters by the 4-cell stage after which it is rapidly degraded save for the D and P4 blastomeres; MEX-3 protein is also detected uniformly in the cytoplasm of oocytes and 1-cell stage embryos, but like the mRNA, becomes more abundant in AB and its daughters at the 2- and 4-cell stages, respectively, before disappearing; MEX-3 is also detected in association with P granules from the 2-cell stage until the late stages of embryogenesis.",WBGene00003229,127297,134065,1,Caenorhabditis elegans
WBGene00003230,mex-5,W02A2.7,"mex-5 encodes a novel protein that contains two CCCH zinc finger motifs; maternally provided MEX-5, which functions partly redundantly with the highly similar CCCH finger protein MEX-6, is essential for transducing polarity cues and establishing soma/germline asymmetry in the early embryo; in regulating soma/germline asymmetry, MEX-5 interacts with, and activates, the SOCS-box protein ZIF-1, which functions as part of an E3 ubiquitin ligase complex that degrades germ plasm proteins in somatic blastomeres; accordingly, ectopic expression of MEX-5 throughout the early embryo results in reduced expression of germline proteins in germline blastomeres; MEX-5 activity is regulated in vivo by PLK-1 and PLK-2, which presumably bind and phosphorylate MBK-2-primed MEX-5; MEX-5 is a cytoplasmic protein expressed at uniform levels in oocytes and newly fertilized eggs; from the 1-cell to 4-cell stages of embryogenesis, MEX-5 expression is dynamic, with highest levels seen in the anterior AB blastomere and, for a time, its daughters, the anterior portion of the P1 blastomere, P1 centrosomes (both, then posterior only), and the EMS and C blastomeres; the asymmetric distribution of MEX-5 in early embryos depends upon a phosphorylation/dephosphorylation cycle by the PAR-1 kinase and PP2A phosphatases including LET-92, that regulate MEX-5's association with slow- or fast-diffusing RNA-containing complexes.",WBGene00003230,13353723,13356089,1,Caenorhabditis elegans
WBGene00003231,mex-6,AH6.5,"mex-6 encodes a CCCH zinc-finger protein highly similar to MEX-5 that functions with MEX-5 to affect embryonic viability, establish soma germline asymmetry in embryos and establish PIE-1, MEX-1, and POS-1 asymmetry in embryos, and also affects formation of intestinal cells; MEX-6 and MEX-5 may act downstream of the PAR proteins.",WBGene00003231,9524174,9526366,1,Caenorhabditis elegans
WBGene00003388,moe-3,F32A11.6,"moe-3 encodes a CCCH tandem zinc finger (TZF) protein; while loss of moe-3 activity via RNAi alone results in no obvious abnormalities, animals triply mutant for moe-3, oma-1, and oma-2 demonstrate oocyte maturation defects, indicating that these genes likely function redundantly during germline development; in situ hybridization experiments indicate that moe-3 mRNA expression is relatively weak and restricted to the distal region of the gonad; based upon its sequence similarity to other TZF proteins, such as MEX-5 and POS-1, the product of MOE-3 is predicted to function as an RNA-binding protein.",WBGene00003388,13160415,13165733,-1,Caenorhabditis elegans
WBGene00003393,mog-5,EEED8.5,"The mog-5 gene encodes a DEAH helicase orthologous to the Drosophila CG8241, the human HRH1, and the S. cerevisiae PRP22 proteins.",WBGene00003393,5399539,5406005,1,Caenorhabditis elegans
WBGene00003423,msi-1,R10E9.1,,WBGene00003423,3964663,3976391,-1,Caenorhabditis elegans
WBGene00003827,ntl-4,C49H3.5,"ntl-4 encodes two proteins by alternative splicing, one of which (NTL-4A) has an N-terminal RING finger and a RNA recognition motif ('RRM', 'RBD', or 'RNP'), and both of which have glutamine/asparagine-rich domains.",WBGene00003827,7910600,7915131,1,Caenorhabditis elegans
WBGene00003864,oma-1,C09G9.6,"oma-1 encodes a zinc finger protein of the TIS11 finger type that is paralogous to OMA-2; while either oma-1 or oma-2 individually have no obvious mutant phenotype, oma-1 and oma-2 doubly mutant animals show defects in oocyte maturation, indicating that the two genes function redundantly in this process; whereas normal oocytes are released from meiotic prophase I arrest during oocyte maturation, oma-1;oma-2 mutant oocytes initiate, but fail to complete, maturation, arresting at a defined point in meiotic prophase I; the meiotic arrest of oma-1;oma-2 mutant oocytes is suppressed by wee-1.3(RNAi), implying that progression through meiotic prophase I is critically dependent on inhibition of WEE-1.3 by either OMA-1 or OMA-2; OMA-1 is expressed primarily in maturing oocytes, is cytoplasmic and visible prior to cellularization.",WBGene00003864,8888976,8890987,1,Caenorhabditis elegans
WBGene00003865,oma-2,ZC513.6,"oma-2 encodes a zinc finger protein of the TIS11 finger type that is paralogous to OMA-1; while either oma-1 or oma-2 individually have no obvious mutant phenotype, oma-1 and oma-2 doubly mutant animals show defects in oocyte maturation, indicating that the two genes function redundantly in this process; whereas normal oocytes are released from meiotic prophase I arrest during oocyte maturation, oma-1;oma-2 mutant oocytes initiate, but fail to complete, maturation, arresting at a defined point in meiotic prophase I; the meiotic arrest of oma-1;oma-2 mutant oocytes is suppressed by wee-1.3(RNAi), implying that progression through meiotic prophase I is critically dependent on inhibition of WEE-1.3 by either OMA-1 or OMA-2; OMA-2 is expressed primarily in maturing oocytes, is cytoplasmic and visible in oocytes after cellularization.",WBGene00003865,8029439,8031214,1,Caenorhabditis elegans
WBGene00003902,pab-1,Y106G6H.2,"pab-1 encodes a polyadenylate-binding protein (i.e., poly(A)-binding protein, or PAB); pab-1 is essential for germline proliferation, regulation of adult lifespan, and normal body size; PAB-1 forms a complex with ATX-2, the C. elegans ataxin 2 ortholog, which is also required for germline development; PAB-1 has been successfully used as an epitope-tagged transgenic reagent for tissue-specific isolation of mRNAs.",WBGene00003902,10432815,10435876,-1,Caenorhabditis elegans
WBGene00003903,pab-2,F18H3.3,pab-2 encodes a polyadenylate-binding protein 1 homolog with high similarity to human PABP 1.,WBGene00003903,13522279,13527415,-1,Caenorhabditis elegans
WBGene00003904,pabp-2,C17E4.5,"pabp-2 encodes the C. elegans PABPN1 (polyadenylate-binding protein, nuclear 1) ortholog; by homology, PABP-2 is predicted to function as a poly(A)-binding protein involved in several aspects of pre-mRNA processing; large-scale RNAi screens indicate that pabp-2 activity is essential for embryonic and larval development, as well as normal rates of growth and locomotion; in humans, expansion of a polyalanine repeat in PABPN1 is associated with oculopharyngeal muscular dystrophy (OPMD, OMIM:602279).",WBGene00003904,9420906,9421992,-1,Caenorhabditis elegans
WBGene00003978,pes-4,Y119D3B.17,"pes-4 encodes a protein that contains two type 1 KH domains, RNA-binding domains that are present in a diverse group of nucleic acid-binding proteins; pes-4 was identified in promoter-trapping screens and by homology, is predicted to function as an RNA-binding protein; however, the precise role of PES-4 in C. elegans development and/or behavior is not yet known; a pes-4 reporter is expressed in three rectal epithelial cells from the L1 larval stage through adulthood and is also seen dispersed throughout the pharynx in all postembryonic stages.",WBGene00003978,1215976,1222072,-1,Caenorhabditis elegans
WBGene00004027,pie-1,Y49E10.14,"pie-1 encodes a C-x8-C-x5-C-x3-H-type zinc-finger protein; maternally provided PIE-1 is essential for germline cell fate determination, as it functions as a repressor of RNA polymerase II-dependent gene expression in the developing germ line; PIE-1 localization, initially uniform and then concentrated in the posterior germ cell lineages, is regulated by other maternally supplied gene products including PAR-1, MEX-5, and MEX-6.",WBGene00004027,12426862,12429177,1,Caenorhabditis elegans
WBGene00004078,pos-1,F52E1.1,"pos-1 encodes a CCCH-type zinc-finger protein; during embryogenesis, maternally provided POS-1 is essential for proper fate specification of germ cells, intestine, pharynx, and hypodermis; POS-1's role in cell fate specification is likely as a translational regulator, as POS-1 is required, in posterior blastomeres, for positive regulation of apx-1 mRNA translation and negative regulation of glp-1 mRNA translation via direct binding to the spatial control region (SCR) in the glp-1 mRNA 3' UTR; in regulating mRNA translation, POS-1 interacts with SPN-4, an RNP-type RNA binding protein, that may function to negatively regulate POS-1 activity; POS-1 can also bind the mex-6 3'-UTR in vitro, although expression of a MEX-6 reporter fusion protein does not appear to be affected in pos-1 mutant animals; pos-1 mRNA is first detected in the gonads of L4 and adult animals, and is present uniformly in oocytes and newly fertilized embryos; during early embryonic divisions, pos-1 mRNA is present at higher levels in germline blastomeres until it disappears following the division of P4; POS-1 protein is first apparent at low levels in 1-cell embryos, with subsequent expression mirroring that of pos-1 mRNA: high levels in germline blastomeres until its disappearance after the P4 division; in the germline blastomeres P1, P2, P3, and P4, POS-1 colocalizes with cytoplasmic and perinuclear P granules.",WBGene00004078,8414085,8415255,1,Caenorhabditis elegans
WBGene00004091,pps-1,T14G10.1,"pps-1 is orthologous to human PAPSS1 (OMIM:603262) and human PAPSS2 (OMIM:603005, mutated in spondyloepimetaphyseal dysplasia).",WBGene00004091,10162008,10164382,1,Caenorhabditis elegans
WBGene00004147,larp-5,T12F5.5,larp-5 encodes an La-related protein containing an La RNA-binding motif and a conserved LARP5 domain; LARP-5 is most closely related to the Larp5 family of metazoan-specific La proteins that includes human and mouse Larp5 as well as Drosophila melanogaster CG11505.,WBGene00004147,3732982,3740479,-1,Caenorhabditis elegans
WBGene00004188,prp-21,W07E6.4,,WBGene00004188,484866,490404,1,Caenorhabditis elegans
WBGene00004207,ptb-1,D2089.4,ptb-1 encodes the C. elegans ortholog of the polypyrimidine tract binding protein PTB.,WBGene00004207,10675602,10690406,1,Caenorhabditis elegans
WBGene00004239,puf-3,Y45F10A.2,"The puf-3 gene encodes a predicted RNA binding protein that is a member of the conserved PUF (Pumilio and FBF) family of RNA binding proteins; PUF-3 is expressed in the ovary and is required for multiple aspects of early embryogenesis including proper cell cycle timing, spindle positioning, and formation of the polar bodies and pronuclei.",WBGene00004239,13510306,13512162,-1,Caenorhabditis elegans
WBGene00004240,puf-4,M4.2,,WBGene00004240,3204558,3210582,-1,Caenorhabditis elegans
WBGene00004241,puf-5,F54C9.8,"puf-5 encodes a Pumilio protein; PUF-5 is required, redundantly with  PUF-6/7, for translational repression of glp-1 mRNA in oocytes (via  specific elements in the 3' UTR site), and for normal oocyte maturation  (growth, organization, nuclear enlargement, yolk uptake, and  localization of RME-2 to the plasma membrane) and early embryogenesis  (cell divisions and eggshell formation); since glp-1 mutations do not  suppress puf-5 embryonic lethality, PUF-5 is likely to have other  targets than glp-1; puf-5 is expressed in the medial germline, from the  gonad bend (with late pachytene germ cell nuclei) to the distal proximal  gonad, but abruptly ending at the proximal terminus of the gonad; PUF-5  is mostly cytoplasmic, but is also found around the nucleus and in P  granules; a PUF-5 binding element (5BE) is found in the 3' UTRs of  several mRNAs (cpi-2, fog-1, obr-3, srm-6, srz-10, and C17H11.1); 5BE is  similar to the RNA binding profile of PUF-6, but not to those of FBF or  PUF-8/9 proteins.",WBGene00004241,8575541,8577722,1,Caenorhabditis elegans
WBGene00004242,puf-6,F18A11.1,"The puf-6 gene encodes a predicted RNA binding protein that is a member of the conserved PUF (Pumilio and FBF) family of RNA binding proteins; PUF-6 appears to function redundantly with other PUF family members during primordial germ cell development, and interacts with GEX-3, a predicted transmembrane protein that is essential for embryonic tissue morphogenesis.",WBGene00004242,13039790,13043476,-1,Caenorhabditis elegans
WBGene00004243,puf-7,B0273.2,"puf-7 encodes a protein 97% identical to PUF-6 and functions redundantly with the other PUF genes, fbf-1, fbf-2, puf-6, and puf-8, during primordial germ cell development, based on combinatorial RNAi; interacts with NOS-2 in yeast two-hybrid screens.",WBGene00004243,5486685,5490331,1,Caenorhabditis elegans
WBGene00004244,puf-8,C30G12.7,,WBGene00004244,7296110,7298247,-1,Caenorhabditis elegans
